Long,Lat,GRID_ID,ORIG_FID
-81.63845069,35.60619094,BF-22,1
-81.63558442,35.60483755,BG-22,2
-81.63271604,35.60618797,BH-22,3
-81.62984987,35.60483444,BI-22,4
-81.6269814,35.60618473,BJ-22,5
-81.63844869,35.60889482,BF-21,6
-81.63558232,35.60754143,BG-21,7
-81.63271385,35.60889185,BH-21,8
-81.62984758,35.60753832,BI-21,9
-81.62697901,35.6088886,BJ-21,10
-81.63844668,35.61159869,BF-20,11
-81.63558022,35.61024531,BG-20,12
-81.63271165,35.61159572,BH-20,13
-81.62984528,35.6102422,BI-20,14
-81.62697662,35.61159248,BJ-20,15
-81.63844468,35.61430257,BF-19,16
-81.63557812,35.61294918,BG-19,17
-81.63270945,35.6142996,BH-19,18
-81.62984299,35.61294607,BI-19,19
-81.62697423,35.61429635,BJ-19,20
